Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Game 4 - Score team A,Game 4 - Score team B,Game 5 - Score team A,Game 5 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team A - Player 4,Team B - Player 1,Team B - Player 2,Team B - Player 3,Team B - Player 4
Pool Play,Women's Advanced 4.0+,Group C,4,Single game,besties💂🏼⛑️,We look like this -> 🥰,besties💂🏼⛑️,21,12,,,,,,,,,Stef Ding,Tiff Ding,,,Emma Brune,Reese Gallagher,,
Pool Play,Women's Advanced 4.0+,Group C,4,Single game,Give me my coffee back,Women in Stem,Give me my coffee back,21,15,,,,,,,,,Courtney Coppage,Audrey Summers,,,Bel Belvedere,lauren viado,,
Pool Play,Women's Advanced 4.0+,Group D,4,Single game,Sunnies😎,Vogt/Forand,Sunnies😎,21,10,,,,,,,,,Jhanaj Quispe,Shonda Couroux,,,Kellie Forand,Mackenzie Vogt,,
Pool Play,Women's Advanced 4.0+,Group D,4,Single game,Carry Set,Marshmallow 🐾 🐧,Marshmallow 🐾 🐧,15,21,,,,,,,,,Malia Wanderer,Abigale Lamontagne,,,Genevieve Tardy,Kim Aspirot,,
Pool Play,Women's Advanced 4.0+,Group A,5,Single game,Pierson/Phan,Almost a Jazz Band,Pierson/Phan,21,18,,,,,,,,,Katheleen Phan,Katie Pierson,,,Sarah Allen,Shachi Patel,,
Pool Play,Women's Advanced 4.0+,Group A,5,Single game,Coastin’,Dino Riot 🦖,Coastin’,21,17,,,,,,,,,Joelle Nguyen,Maddy Morehouse,,,Laurence Vallée,Rafaela Bastos,,
Pool Play,Women's Advanced 4.0+,Group B,5,Single game,YU-BAE,One hit wonders,YU-BAE,23,21,,,,,,,,,Dianne Fonseca,sophia yu,,,Holly Yu,Amanda Jamieson,,
Pool Play,Women's Advanced 4.0+,Group B,5,Single game,No Idea,Sorenson/Norris,Sorenson/Norris,15,21,,,,,,,,,nina miller,Kate B,,,Abby Norris,Hanna Sorensen,,
Pool Play,Women's Advanced 4.0+,Group C,5,Single game,besties💂🏼⛑️,Women in Stem,besties💂🏼⛑️,21,13,,,,,,,,,Stef Ding,Tiff Ding,,,Bel Belvedere,lauren viado,,
Pool Play,Women's Advanced 4.0+,Group C,5,Single game,Give me my coffee back,We look like this -> 🥰,Give me my coffee back,21,9,,,,,,,,,Courtney Coppage,Audrey Summers,,,Emma Brune,Reese Gallagher,,
Pool Play,Women's Advanced 4.0+,Group D,5,Single game,Sunnies😎,Marshmallow 🐾 🐧,Marshmallow 🐾 🐧,9,21,,,,,,,,,Jhanaj Quispe,Shonda Couroux,,,Genevieve Tardy,Kim Aspirot,,
Pool Play,Women's Advanced 4.0+,Group D,5,Single game,Carry Set,Vogt/Forand,Carry Set,21,11,,,,,,,,,Malia Wanderer,Abigale Lamontagne,,,Kellie Forand,Mackenzie Vogt,,
Pool Play,Women's Advanced 4.0+,Group A,6,Single game,Pierson/Phan,Coastin’,Coastin’,18,21,,,,,,,,,Katheleen Phan,Katie Pierson,,,Joelle Nguyen,Maddy Morehouse,,
Pool Play,Women's Advanced 4.0+,Group A,6,Single game,Almost a Jazz Band,Dino Riot 🦖,Almost a Jazz Band,21,16,,,,,,,,,Sarah Allen,Shachi Patel,,,Laurence Vallée,Rafaela Bastos,,
