Ä,Division,Group/Bracket,Round,Match format,Squad,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Division 1 Open,Pool C,1,Single game,UNC Wilmington D1 vs VCU D1,UNC Wilmington D1 Open C,VCU D1 Open C,UNC Wilmington D1 Open C,21,14,,,,,Michael Creedon,Zack Glew,Sebastian Grant,Zachary Small
Pool Play,Division 1 Open,Pool C,1,Single game,UNC Wilmington D1 vs VCU D1,UNC Wilmington D1 Coed,VCU D1 Coed,VCU D1 Coed,13,21,,,,,Claire Schnee,Jason Lyons,Jyneece Conway-Layman,Nathaniel Hughes
Pool Play,Division 1 Women's,Pool C,1,Single game,UNC Wilmington D1 vs VCU D1,UNC Wilmington D1 Women's,VCU D1 Women's,VCU D1 Women's,3,21,,,,,Julie Gibbs,Tristen Rogers,Bel Belvedere,Lauren Viado
Pool Play,Division 1 Open,Pool C,1,Single game,KSU D1 vs VCU D1,KSU D1 Open A,VCU D1 Open A,VCU D1 Open A,16,21,,,,,Connar Kloehn,Parker McKinney,Brock Lodato,Sean Santos
Pool Play,Division 1 Open,Pool C,1,Single game,KSU D1 vs VCU D1,KSU D1 Open B,VCU D1 Open B,VCU D1 Open B,7,21,,,,,Jake Kelley,Parker Smith,Owen Wallace,Ryland Holdren
Pool Play,Division 1 Open,Pool C,1,Single game,KSU D1 vs VCU D1,KSU D1 Open C,VCU D1 Open C,VCU D1 Open C,15,21,,,,,Collin Ireland,Lane Morris,Sebastian Grant,Zachary Small
Pool Play,Division 1 Open,Pool C,1,Single game,KSU D1 vs VCU D1,KSU D1 Coed,VCU D1 Coed,KSU D1 Coed,21,7,,,,,Austin Niles,Leah Freeman,Jyneece Conway-Layman,Nathaniel Hughes
Pool Play,Division 1 Women's,Pool C,1,Single game,KSU D1 vs VCU D1,KSU D1 Women's,VCU D1 Women's,VCU D1 Women's,7,21,,,,,Ava Holtz,Ellie Bennett,Bel Belvedere,Lauren Viado
Pool Play,Division 1 Open,Pool C,1,Single game,KSU D1 vs Siena/RPI D1,KSU D1 Open A,Siena/RPI D1 Open A,Siena/RPI D1 Open A,8,21,,,,,Connar Kloehn,Parker McKinney,Joshua Aguilar,Noah Lerner-Morelle
Pool Play,Division 1 Open,Pool C,1,Single game,KSU D1 vs Siena/RPI D1,KSU D1 Open B,Siena/RPI D1 Open B,Siena/RPI D1 Open B,17,21,,,,,Jake Kelley,Parker Smith,Daniel Krupp,Michael Vilardo
Pool Play,Division 1 Open,Pool C,1,Single game,KSU D1 vs Siena/RPI D1,KSU D1 Open C,Siena/RPI D1 Open C,KSU D1 Open C,21,11,,,,,Collin Ireland,Lane Morris,Andrew Higginbotham,Matthew Brady
Pool Play,Division 1 Open,Pool C,1,Single game,KSU D1 vs Siena/RPI D1,KSU D1 Coed,Siena/RPI D1 Coed,KSU D1 Coed,21,7,,,,,Austin Niles,Leah Freeman,Cole Bombard,Megan Dwire
Pool Play,Division 1 Women's,Pool C,1,Single game,KSU D1 vs Siena/RPI D1,KSU D1 Women's,Siena/RPI D1 Women's,Siena/RPI D1 Women's,15,21,,,,,Ava Holtz,Ellie Bennett,Emily Stewart,Kelsey Higgins
